07:21:36.420 logd             (10d163 10d163): INFO : Starting logd
07:21:46.433 feo_com::linux_shm                              (10d1aa 10d1ac): DEBUG: Connection accepted, handling...
07:21:46.434 feo_com::linux_shm                              (10d1aa 10d1ac): DEBUG: Connection accepted, handling...
07:21:46.434 feo_com::linux_shm                              (10d1aa 10d1ac): DEBUG: Connection accepted, handling...
07:21:46.434 feo_com::linux_shm                              (10d1aa 10d1ac): DEBUG: Connection accepted, handling...
07:21:46.434 feo_com::linux_shm                              (10d1aa 10d1ac): DEBUG: Connection accepted, handling...
07:21:46.434 feo::agent::relayed::secondary                  (10d22a 10d22a): DEBUG: Running secondary with ID GenericId { id: 102, _discriminator: PhantomData<feo::ids::AgentIdMarker> }
07:21:46.434 feo::signalling::common::mpsc::endpoint         (10d22a 10d22c): DEBUG: Sent connect request signal from channel Worker(GenericId { id: 43, _discriminator: PhantomData<feo::ids::WorkerIdMarker> })
07:21:46.434 feo::signalling::relayed::connectors::secondary (10d22a 10d22a): DEBUG: Starting MixedSecondaryConnector
07:21:46.434 feo::signalling::common::mpsc::endpoint         (10d22a 10d22d): DEBUG: Sent connect request signal from channel Worker(GenericId { id: 44, _discriminator: PhantomData<feo::ids::WorkerIdMarker> })
07:21:46.434 mini_adas::activities::components               (10d22a 10d22c): INFO : 🔧 Initializing EmergencyBraking with persistency support
07:21:46.434 mini_adas::activities::components               (10d22a 10d22c): INFO : ✅ Directory ./adas_data created/verified
07:21:46.434 mini_adas::activities::components               (10d22a 10d22d): INFO : 🤖 DistractionPublisher initializing
07:21:46.434 feo::signalling::common::socket::client         (10d22a 10d22a): INFO : Successfully connected to 127.0.0.1:8081
07:21:46.434 feo::signalling::common::socket::client         (10d22a 10d22e): INFO : Successfully connected to 127.0.0.1:8082
07:21:46.434 feo::signalling::common::socket::server         (10d1aa 10d1af): INFO : Accepted connection from 127.0.0.1:56978
07:21:46.434 feo::signalling::common::socket::server         (10d1aa 10d1aa): INFO : Accepted connection from 127.0.0.1:49584
07:21:46.434 feo::signalling::relayed::sockets::endpoint     (10d1aa 10d1aa): DEBUG: Channel connected Agent(GenericId { id: 102, _discriminator: PhantomData<feo::ids::AgentIdMarker> })
07:21:46.434 feo::signalling::relayed::sockets::endpoint     (10d1aa 10d1af): DEBUG: Channel connected Agent(GenericId { id: 102, _discriminator: PhantomData<feo::ids::AgentIdMarker> })
07:21:46.434 feo::signalling::common::mpsc::endpoint         (10d1aa 10d1af): DEBUG: Sent connect request signal from channel Relay(GenericId { id: 0, _discriminator: PhantomData<feo::ids::RelayIdMarker> })
07:21:46.434 mini_adas::activities::components               (10d22a 10d22d): INFO : 🤖 DashboardPublisher initializing with INDIVIDUAL DDS participant
07:21:46.434 feo::worker                                     (10d22a 10d22d): DEBUG: Running worker W44
07:21:46.434 feo::worker                                     (10d1aa 10d1ad): DEBUG: Running worker W40
07:21:46.434 feo::worker                                     (10d1aa 10d1ae): DEBUG: Running worker W41
07:21:46.434 feo::signalling::relayed::connectors::relays    (10d22a 10d22e): DEBUG: Time synchronization done
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): INFO : Time synchronization of remote agents done
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A0
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A1
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A2
07:21:46.434 feo::signalling::relayed::connectors::relays    (10d1dd 10d1e0): DEBUG: Time synchronization done
07:21:46.434 feo::worker                                     (10d1aa 10d1ad): DEBUG: Ran startup of activity GenericId { id: 0, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 30.606µs
07:21:46.434 feo::worker                                     (10d1aa 10d1ae): DEBUG: Ran startup of activity GenericId { id: 1, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 17.966µs
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A3
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A5
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A6
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A7
07:21:46.434 feo::worker                                     (10d1dd 10d1df): DEBUG: Ran startup of activity GenericId { id: 2, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 33.772µs
07:21:46.434 feo::worker                                     (10d1dd 10d1df): DEBUG: Ran startup of activity GenericId { id: 3, _discriminator: PhantomData<feo::ids::ActivityIdMarker> } in 4.892µs
07:21:46.434 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A8
07:21:46.435 feo::scheduler                                  (10d1aa 10d1aa): DEBUG: Triggering startup for activity A9
